Timer(TeamNewProcessesX<3>[SameNumber | 2]): <t> = 1.0366s, std = 0s, 1.0366s <= t <= 1.0366s (n=1)
Timer(TeamConstProcessesX<3>[SameNumber | 2]): <t> = 26.3447ms, std = 0ms, 26.3447ms <= t <= 26.3447ms (n=1)
Timer(TeamNewThreadsX<4>[SameNumber | 2]): <t> = 63.6521ms, std = 0ms, 63.6521ms <= t <= 63.6521ms (n=1)
Timer(TeamConstThreadsX<4>[SameNumber | 2]): <t> = 10.6005ms, std = 0ms, 10.6005ms <= t <= 10.6005ms (n=1)
Timer(TeamPoolX<4>[SameNumber | 2]): <t> = 19.3371ms, std = 0ms, 19.3371ms <= t <= 19.3371ms (n=1)
Timer(TeamNewProcessesX<4>[SameNumber | 2]): <t> = 1.0149s, std = 0s, 1.0149s <= t <= 1.0149s (n=1)
Timer(TeamConstProcessesX<4>[SameNumber | 2]): <t> = 30.7016ms, std = 0ms, 30.7016ms <= t <= 30.7016ms (n=1)
Timer(TeamNewThreadsX<7>[SameNumber | 2]): <t> = 63.1609ms, std = 0ms, 63.1609ms <= t <= 63.1609ms (n=1)
Timer(TeamConstThreadsX<7>[SameNumber | 2]): <t> = 15.6386ms, std = 0ms, 15.6386ms <= t <= 15.6386ms (n=1)
Timer(TeamPoolX<7>[SameNumber | 2]): <t> = 19.7748ms, std = 0ms, 19.7748ms <= t <= 19.7748ms (n=1)
Timer(TeamNewProcessesX<7>[SameNumber | 2]): <t> = 1.01553s, std = 0s, 1.01553s <= t <= 1.01553s (n=1)
Timer(TeamConstProcessesX<7>[SameNumber | 2]): <t> = 21.2556ms, std = 0ms, 21.2556ms <= t <= 21.2556ms (n=1)
Timer(TeamNewThreadsX<10>[SameNumber | 2]): <t> = 62.6979ms, std = 0ms, 62.6979ms <= t <= 62.6979ms (n=1)
Timer(TeamConstThreadsX<10>[SameNumber | 2]): <t> = 21.4669ms, std = 0ms, 21.4669ms <= t <= 21.4669ms (n=1)
Timer(TeamPoolX<10>[SameNumber | 2]): <t> = 19.8561ms, std = 0ms, 19.8561ms <= t <= 19.8561ms (n=1)
Timer(TeamNewProcessesX<10>[SameNumber | 2]): <t> = 1.04159s, std = 0s, 1.04159s <= t <= 1.04159s (n=1)
Timer(TeamConstProcessesX<10>[SameNumber | 2]): <t> = 23.5801ms, std = 0ms, 23.5801ms <= t <= 23.5801ms (n=1)
Timer(TeamAsyncX<1>[SameNumber | 2]): <t> = 71.1116ms, std = 0ms, 71.1116ms <= t <= 71.1116ms (n=1)
Timer(CalcCollatzSoloTimer): <t> = 92.4953us, std = 8.93276us, 0.091189ms <= t <= 0.677754ms (n=5995)
Timer(TeamSolo<1>[SameNumber | 5]): <t> = 0.560163s, std = 0s, 0.560163s <= t <= 0.560163s (n=1)
Timer(TeamNewThreads<1>[SameNumber | 5]): <t> = 237.644ms, std = 0ms, 237.644ms <= t <= 237.644ms (n=1)
Timer(TeamConstThreads<1>[SameNumber | 5]): <t> = 0.564918s, std = 0s, 0.564918s <= t <= 0.564918s (n=1)
Timer(TeamPool<1>[SameNumber | 5]): <t> = 0.610093s, std = 0s, 0.610093s <= t <= 0.610093s (n=1)
Timer(TeamNewProcesses<1>[SameNumber | 5]): <t> = 5.49817s, std = 0s, 5.49817s <= t <= 5.49817s (n=1)
Timer(TeamConstProcesses<1>[SameNumber | 5]): <t> = 0.559988s, std = 0s, 0.559988s <= t <= 0.559988s (n=1)
Timer(TeamNewThreads<2>[SameNumber | 5]): <t> = 249.149ms, std = 0ms, 249.149ms <= t <= 249.149ms (n=1)
Timer(TeamConstThreads<2>[SameNumber | 5]): <t> = 0.293506s, std = 0s, 0.293506s <= t <= 0.293506s (n=1)
Timer(TeamPool<2>[SameNumber | 5]): <t> = 0.317309s, std = 0s, 0.317309s <= t <= 0.317309s (n=1)
Timer(TeamNewProcesses<2>[SameNumber | 5]): <t> = 2.94527s, std = 0s, 2.94527s <= t <= 2.94527s (n=1)
Timer(TeamConstProcesses<2>[SameNumber | 5]): <t> = 0.284607s, std = 0s, 0.284607s <= t <= 0.284607s (n=1)
Timer(TeamNewThreads<3>[SameNumber | 5]): <t> = 240.476ms, std = 0ms, 240.476ms <= t <= 240.476ms (n=1)
Timer(TeamConstThreads<3>[SameNumber | 5]): <t> = 213.051ms, std = 0ms, 213.051ms <= t <= 213.051ms (n=1)
Timer(TeamPool<3>[SameNumber | 5]): <t> = 230.782ms, std = 0ms, 230.782ms <= t <= 230.782ms (n=1)
Timer(TeamNewProcesses<3>[SameNumber | 5]): <t> = 2.28392s, std = 0s, 2.28392s <= t <= 2.28392s (n=1)
Timer(TeamConstProcesses<3>[SameNumber | 5]): <t> = 205.913ms, std = 0ms, 205.913ms <= t <= 205.913ms (n=1)
Timer(TeamNewThreads<4>[SameNumber | 5]): <t> = 233.999ms, std = 0ms, 233.999ms <= t <= 233.999ms (n=1)
Timer(TeamConstThreads<4>[SameNumber | 5]): <t> = 182.115ms, std = 0ms, 182.115ms <= t <= 182.115ms (n=1)
Timer(TeamPool<4>[SameNumber | 5]): <t> = 195.914ms, std = 0ms, 195.914ms <= t <= 195.914ms (n=1)
Timer(TeamNewProcesses<4>[SameNumber | 5]): <t> = 2.24416s, std = 0s, 2.24416s <= t <= 2.24416s (n=1)
Timer(TeamConstProcesses<4>[SameNumber | 5]): <t> = 188.443ms, std = 0ms, 188.443ms <= t <= 188.443ms (n=1)
Timer(TeamNewThreads<7>[SameNumber | 5]): <t> = 239.349ms, std = 0ms, 239.349ms <= t <= 239.349ms (n=1)
Timer(TeamConstThreads<7>[SameNumber | 5]): <t> = 169.886ms, std = 0ms, 169.886ms <= t <= 169.886ms (n=1)
Timer(TeamPool<7>[SameNumber | 5]): <t> = 168.539ms, std = 0ms, 168.539ms <= t <= 168.539ms (n=1)
Timer(TeamNewProcesses<7>[SameNumber | 5]): <t> = 2.31511s, std = 0s, 2.31511s <= t <= 2.31511s (n=1)
