Timer(TeamNewProcessesX<3>[SameNumber | 2]): <t> = 5.09002s, std = 0s, 5.09002s <= t <= 5.09002s (n=1)
Timer(TeamConstProcessesX<3>[SameNumber | 2]): <t> = 45.3808ms, std = 0ms, 45.3808ms <= t <= 45.3808ms (n=1)
Timer(TeamNewThreadsX<4>[SameNumber | 2]): <t> = 122.136ms, std = 0ms, 122.136ms <= t <= 122.136ms (n=1)
Timer(TeamConstThreadsX<4>[SameNumber | 2]): <t> = 15.1753ms, std = 0ms, 15.1753ms <= t <= 15.1753ms (n=1)
Timer(TeamPoolX<4>[SameNumber | 2]): <t> = 39.4605ms, std = 0ms, 39.4605ms <= t <= 39.4605ms (n=1)
Timer(TeamNewProcessesX<4>[SameNumber | 2]): <t> = 4.73466s, std = 0s, 4.73466s <= t <= 4.73466s (n=1)
Timer(TeamConstProcessesX<4>[SameNumber | 2]): <t> = 39.2849ms, std = 0ms, 39.2849ms <= t <= 39.2849ms (n=1)
Timer(TeamNewThreadsX<7>[SameNumber | 2]): <t> = 121.947ms, std = 0ms, 121.947ms <= t <= 121.947ms (n=1)
Timer(TeamConstThreadsX<7>[SameNumber | 2]): <t> = 22.5239ms, std = 0ms, 22.5239ms <= t <= 22.5239ms (n=1)
Timer(TeamPoolX<7>[SameNumber | 2]): <t> = 39.7705ms, std = 0ms, 39.7705ms <= t <= 39.7705ms (n=1)
Timer(TeamNewProcessesX<7>[SameNumber | 2]): <t> = 4.61988s, std = 0s, 4.61988s <= t <= 4.61988s (n=1)
Timer(TeamConstProcessesX<7>[SameNumber | 2]): <t> = 40.3494ms, std = 0ms, 40.3494ms <= t <= 40.3494ms (n=1)
Timer(TeamNewThreadsX<10>[SameNumber | 2]): <t> = 128.319ms, std = 0ms, 128.319ms <= t <= 128.319ms (n=1)
Timer(TeamConstThreadsX<10>[SameNumber | 2]): <t> = 26.2619ms, std = 0ms, 26.2619ms <= t <= 26.2619ms (n=1)
Timer(TeamPoolX<10>[SameNumber | 2]): <t> = 42.8153ms, std = 0ms, 42.8153ms <= t <= 42.8153ms (n=1)
Timer(TeamNewProcessesX<10>[SameNumber | 2]): <t> = 4.72506s, std = 0s, 4.72506s <= t <= 4.72506s (n=1)
Timer(TeamConstProcessesX<10>[SameNumber | 2]): <t> = 34.5189ms, std = 0ms, 34.5189ms <= t <= 34.5189ms (n=1)
Timer(TeamAsyncX<1>[SameNumber | 2]): <t> = 123.914ms, std = 0ms, 123.914ms <= t <= 123.914ms (n=1)
Timer(CalcCollatzSoloTimer): <t> = 93.4894us, std = 6.83214us, 83.77us <= t <= 154.016us (n=5995)
Timer(TeamSolo<1>[SameNumber | 5]): <t> = 0.56633s, std = 0s, 0.56633s <= t <= 0.56633s (n=1)
Timer(TeamNewThreads<1>[SameNumber | 5]): <t> = 246.977ms, std = 0ms, 246.977ms <= t <= 246.977ms (n=1)
Timer(TeamConstThreads<1>[SameNumber | 5]): <t> = 0.617646s, std = 0s, 0.617646s <= t <= 0.617646s (n=1)
Timer(TeamPool<1>[SameNumber | 5]): <t> = 0.661232s, std = 0s, 0.661232s <= t <= 0.661232s (n=1)
Timer(TeamNewProcesses<1>[SameNumber | 5]): <t> = 29.7701s, std = 0s, 29.7701s <= t <= 29.7701s (n=1)
Timer(TeamConstProcesses<1>[SameNumber | 5]): <t> = 0.586892s, std = 0s, 0.586892s <= t <= 0.586892s (n=1)
Timer(TeamNewThreads<2>[SameNumber | 5]): <t> = 0.251217s, std = 0s, 0.251217s <= t <= 0.251217s (n=1)
Timer(TeamConstThreads<2>[SameNumber | 5]): <t> = 0.312637s, std = 0s, 0.312637s <= t <= 0.312637s (n=1)
Timer(TeamPool<2>[SameNumber | 5]): <t> = 0.346036s, std = 0s, 0.346036s <= t <= 0.346036s (n=1)
Timer(TeamNewProcesses<2>[SameNumber | 5]): <t> = 15.9348s, std = 0s, 15.9348s <= t <= 15.9348s (n=1)
Timer(TeamConstProcesses<2>[SameNumber | 5]): <t> = 0.351517s, std = 0s, 0.351517s <= t <= 0.351517s (n=1)
Timer(TeamNewThreads<3>[SameNumber | 5]): <t> = 0.303513s, std = 0s, 0.303513s <= t <= 0.303513s (n=1)
Timer(TeamConstThreads<3>[SameNumber | 5]): <t> = 221.116ms, std = 0ms, 221.116ms <= t <= 221.116ms (n=1)
Timer(TeamPool<3>[SameNumber | 5]): <t> = 246.349ms, std = 0ms, 246.349ms <= t <= 246.349ms (n=1)
